,unique_id,cuisine,district
20,node/1936316523,pizza,"2nd District, Budapest, Hungary"
21,node/1943847633,italian,"2nd District, Budapest, Hungary"
22,node/1945195422,,"2nd District, Budapest, Hungary"
23,node/2070254603,,"2nd District, Budapest, Hungary"
24,node/2095084818,japanese,"2nd District, Budapest, Hungary"
25,node/2095085739,italian,"2nd District, Budapest, Hungary"
26,node/2295463785,regional,"2nd District, Budapest, Hungary"
27,node/2301400571,,"2nd District, Budapest, Hungary"
28,node/2331788855,,"2nd District, Budapest, Hungary"
29,node/2331789956,,"2nd District, Budapest, Hungary"
30,node/2331791810,italian,"2nd District, Budapest, Hungary"
31,node/2331796970,,"2nd District, Budapest, Hungary"
32,node/2331845138,,"2nd District, Budapest, Hungary"
33,node/2331849516,regional,"2nd District, Budapest, Hungary"
34,node/2331862745,,"2nd District, Budapest, Hungary"
35,node/2331863343,,"2nd District, Budapest, Hungary"
36,node/2331864916,,"2nd District, Budapest, Hungary"
37,node/2333116790,italian,"2nd District, Budapest, Hungary"
38,node/2385680004,,"2nd District, Budapest, Hungary"
39,node/2393714273,regional,"2nd District, Budapest, Hungary"
40,node/2393715884,pizza,"2nd District, Budapest, Hungary"
41,node/2401121415,pizza;italian,"2nd District, Budapest, Hungary"
42,node/2401274378,chinese,"2nd District, Budapest, Hungary"
43,node/2475266233,turkish,"2nd District, Budapest, Hungary"
44,node/2686961010,,"2nd District, Budapest, Hungary"
45,node/2764321323,chinese,"2nd District, Budapest, Hungary"
46,node/2853519502,,"2nd District, Budapest, Hungary"
47,node/2872011832,burger,"2nd District, Budapest, Hungary"
48,node/2936165805,,"2nd District, Budapest, Hungary"
49,node/2980949089,italian;olasz;pizza,"2nd District, Budapest, Hungary"
50,node/2991066723,sandwich,"2nd District, Budapest, Hungary"
51,node/3159002857,pizza;ice_cream;italian;coffee;soup;pasta;dessert,"2nd District, Budapest, Hungary"
52,node/3501199302,,"2nd District, Budapest, Hungary"
53,node/3622408734,,"2nd District, Budapest, Hungary"
54,node/3622478277,,"2nd District, Budapest, Hungary"
55,node/3739351361,,"2nd District, Budapest, Hungary"
56,node/3739351362,,"2nd District, Budapest, Hungary"
57,node/3739357004,,"2nd District, Budapest, Hungary"
58,node/3740374126,,"2nd District, Budapest, Hungary"
59,node/4045700361,regional;coffee_shop;international,"2nd District, Budapest, Hungary"
60,node/4069962777,pizza,"2nd District, Budapest, Hungary"
61,node/4164167190,seafood,"2nd District, Budapest, Hungary"
62,node/4166037989,pizza,"2nd District, Budapest, Hungary"
63,node/4166048135,,"2nd District, Budapest, Hungary"
64,node/4166090413,pizza,"2nd District, Budapest, Hungary"
65,node/4167079495,pizza,"2nd District, Budapest, Hungary"
66,node/4185528298,regional,"2nd District, Budapest, Hungary"
67,node/4185528299,,"2nd District, Budapest, Hungary"
68,node/4185528301,,"2nd District, Budapest, Hungary"
69,node/4185528302,chinese,"2nd District, Budapest, Hungary"
70,node/4185528303,international,"2nd District, Budapest, Hungary"
71,node/4185528304,,"2nd District, Budapest, Hungary"
